pdb_id,pep_identity,mhc_identity,total_identity
4mnq,100.0,100.0,100.0
5meq,88.8888888889,100.0,94.4444444444
5mer,88.8888888889,100.0,94.4444444444
4i4w,88.8888888889,100.0,94.4444444444
5mep,88.8888888889,100.0,94.4444444444
5meo,77.7777777778,100.0,88.8888888889
